NO,최초입사연도,산지,마번,마명,생산국,성별,털색,부마,모마,생산자,경매일,경매가,최초경주마입사일,출전,1위횟수,2위횟수,수득상금,승률,최고군,최초출전일,입사시조,입사시조교사,최초출발검사합격일,출생년도,심사 합격마,육성훈련합격일,육성조련사,경주마가격,포입여부
6862,2021,국산,44478,탱자,한국,수,갈색,한센,이스트퀸,임화정,,,2021-09-25,1,0,0,,0,6,2022-02-20,27,박병일,2021-11-11,2019,1,2021-09-10,최종필,,
6192,2021,국산,43872,리버태양,한국,거,갈색,메니피,캐피리버,김영주,2021-10-26,"60,000,000",2021-11-06,2,0,0,5000000,0,6,2021-12-18,18,박대흥,2021-11-25,2019,1,2021-09-02,한국생협B,"60,000,000",
5924,2021,국산,43786,스프링워터,한국,수,갈색,선더모카신,재즈,고창범,,,2021-10-02,,,,,,6,,7,구자흥,2021-11-24,2019,1,2021-09-02,이재현,,
6162,2021,국산,44120,베스트선더,한국,암,흑갈색,선더모카신,베스트코리안,최민석,,,2021-09-05,1,0,0,,0,6,2021-11-12,16,김재섭,2021-10-06,2019,1,2021-09-02,양승희,,
6045,2021,국산,44651,불국화,한국,암,흑갈색,에이스갤러퍼,슈퍼갤러퍼,(주)늘푸른목장,,,2021-10-23,,,,,,,,35,임채덕,2021-11-03,2019,1,2021-09-02,이경하,,
6756,2021,국산,44623,스피어골드,한국,암,밤색,에치드,한라축제,김수경,,,2021-09-04,2,0,0,,0,6,2022-01-16,23,유재길,2021-10-21,2019,1,2021-09-02,윤치운,"90,000,000",
6583,2021,국산,44362,원평광야,한국,암,밤색,지롤라모,광야일출,김성묵,,,2021-09-11,3,0,0,,0,6,2021-10-31,10,정호익,2021-09-30,2019,1,2021-09-02,양승희,"25,000,000",
6845,2021,국산,44357,건곤일척,한국,수,갈색,지롤라모,청상의별,김홍대,,,2021-09-11,3,0,0,3000000,0,6,2021-11-27,33,서인석,2021-09-29,2019,1,2021-09-02,한국생협B,"20,000,000",
6751,2021,국산,44622,스피어퀸,한국,암,갈색,지롤라모,샌드서핑,김수경,,,2021-10-30,2,0,0,,0,6,2022-01-22,23,유재길,2021-11-11,2019,1,2021-09-02,윤치운,,
6202,2021,국산,43734,영천파워,한국,수,갈색,카우보이칼,매드파워,이광림,2021-05-11,"30,000,000",2021-09-05,3,0,0,2000000,0,6,2021-12-24,1,백광열,2021-09-18,2019,1,2021-09-02,한국생협A,"30,000,000",
6647,2021,국산,44521,타이거존,한국,수,밤색,카우보이칼,만왕,오공학,,,2021-10-16,2,0,0,,0,6,2022-02-13,52,김동균,2021-11-18,2019,1,2021-09-02,양승희,"25,000,000",
6336,2021,국산,43914,당대러너,한국,수,밤색,카우보이칼,당대천하,임정균,,,2021-09-12,,,,,,,,22,강은석,2021-10-23,2019,1,2021-09-02,김경남,,
6276,2021,국산,44191,은성영웅,한국,수,갈색,커널존,선로들리,윤복선,,,2021-09-12,4,0,1,18400000,0,6,2021-11-26,33,권승주,2021-10-23,2019,1,2021-09-02,이경하,"45,000,000",
